r_size,coeff,TMR,FMR
3,2.0,0.9962382445141066,0.3839080459770115
3,1.0,0.7853709508881923,0.003343782654127482
3,0.5,0.052873563218390804,0.0
3,0.75,0.3467084639498433,0.0
3,0.875,0.574085684430512,0.0008359456635318704
3,0.8125,0.45830721003134794,0.0
3,0.84375,0.5203761755485894,0.0002089864158829676
3,0.828125,0.4875653082549634,0.0
3,0.8359375,0.5026123301985371,0.0
3,0.83203125,0.49634273772204807,0.0
3,0.833984375,0.49843260188087773,0.0
3,0.8349609375,0.5011494252873563,0.0
3,0.83447265625,0.5005224660397074,0.0
3,0.834228515625,0.49926854754440964,0.0
3,0.8343505859375,0.4998955067920585,0.0
3,0.83441162109375,0.5003134796238244,0.0
3,0.834381103515625,0.4998955067920585,0.0
3,0.8343963623046875,0.5001044932079415,0.0
3,0.8343887329101562,0.4998955067920585,0.0
3,0.8343925476074219,0.4998955067920585,0.0
3,0.8343944549560547,0.4998955067920585,0.0
3,0.8343954086303711,0.5001044932079415,0.0
3,0.8343949317932129,0.5001044932079415,0.0
3,0.8343946933746338,0.4998955067920585,0.0
3,0.8343948125839233,0.4998955067920585,0.0
3,0.8343948721885681,0.4998955067920585,0.0
3,0.8343949019908905,0.4998955067920585,0.0
3,0.8343949168920517,0.5001044932079415,0.0
3,0.8343949094414711,0.5001044932079415,0.0
3,0.8343949057161808,0.5001044932079415,0.0
3,0.8343949038535357,0.5001044932079415,0.0
3,0.8343949029222131,0.5001044932079415,0.0
3,0.8343949024565518,0.4998955067920585,0.0
3,0.8343949026893824,0.4998955067920585,0.0
3,0.8343949028057978,0.5001044932079415,0.0
3,0.8343949027475901,0.4998955067920585,0.0
3,0.8343949027766939,0.4998955067920585,0.0
3,0.8343949027912458,0.4998955067920585,0.0
3,0.8343949027985218,0.5001044932079415,0.0
3,0.8343949027948838,0.4998955067920585,0.0
3,0.8343949027967028,0.5001044932079415,0.0
3,0.8343949027957933,0.5001044932079415,0.0
3,0.8343949027953386,0.4998955067920585,0.0
3,0.8343949027955659,0.4998955067920585,0.0
3,0.8343949027956796,0.4998955067920585,0.0
3,0.8343949027957365,0.4998955067920585,0.0
3,0.8343949027957649,0.5001044932079415,0.0
3,0.8343949027957507,0.4998955067920585,0.0
3,0.8343949027957578,0.5001044932079415,0.0
3,0.8343949027957542,0.4998955067920585,0.0
3,0.834394902795756,0.5001044932079415,0.0
3,0.8343949027957551,0.4998955067920585,0.0
3,0.8343949027957556,0.4998955067920585,0.0
3,0.8343949027957558,0.5001044932079415,0.0
3,0.8343949027957557,0.5001044932079415,0.0
3,2.0,0.9962382445141066,0.3839080459770115
3,1.0,0.7853709508881923,0.003343782654127482
3,0.5,0.052873563218390804,0.0
3,0.75,0.3467084639498433,0.0
3,0.875,0.574085684430512,0.0008359456635318704
3,0.9375,0.684012539184953,0.0014629049111807733
3,0.90625,0.6288401253918495,0.0012539184952978057
3,0.921875,0.6572622779519331,0.0012539184952978057
3,0.9296875,0.6702194357366771,0.0014629049111807733
3,0.92578125,0.6649947753396029,0.0014629049111807733
3,0.927734375,0.6681295715778475,0.0014629049111807733
3,0.9267578125,0.6666666666666666,0.0014629049111807733
3,0.92724609375,0.6675026123301986,0.0014629049111807733
3,0.927001953125,0.6672936259143156,0.0014629049111807733
3,0.9268798828125,0.6668756530825496,0.0014629049111807733
3,0.92681884765625,0.6666666666666666,0.0014629049111807733
3,0.926849365234375,0.6668756530825496,0.0014629049111807733
3,0.9268341064453125,0.6666666666666666,0.0014629049111807733
3,0.9268417358398438,0.6666666666666666,0.0014629049111807733
3,0.9268455505371094,0.6668756530825496,0.0014629049111807733
3,0.9268436431884766,0.6666666666666666,0.0014629049111807733
3,0.926844596862793,0.6666666666666666,0.0014629049111807733
3,0.9268450736999512,0.6668756530825496,0.0014629049111807733
3,0.9268448352813721,0.6668756530825496,0.0014629049111807733
3,0.9268447160720825,0.6666666666666666,0.0014629049111807733
3,0.9268447756767273,0.6666666666666666,0.0014629049111807733
3,0.9268448054790497,0.6666666666666666,0.0014629049111807733
3,0.9268448203802109,0.6668756530825496,0.0014629049111807733
3,0.9268448129296303,0.6666666666666666,0.0014629049111807733
3,0.9268448166549206,0.6668756530825496,0.0014629049111807733
3,0.9268448147922754,0.6668756530825496,0.0014629049111807733
3,0.9268448138609529,0.6666666666666666,0.0014629049111807733
3,0.9268448143266141,0.6668756530825496,0.0014629049111807733
3,0.9268448140937835,0.6666666666666666,0.0014629049111807733
3,0.9268448142101988,0.6668756530825496,0.0014629049111807733
3,0.9268448141519912,0.6668756530825496,0.0014629049111807733
3,0.9268448141228873,0.6668756530825496,0.0014629049111807733
3,0.9268448141083354,0.6666666666666666,0.0014629049111807733
3,0.9268448141156114,0.6668756530825496,0.0014629049111807733
3,0.9268448141119734,0.6666666666666666,0.0014629049111807733
3,0.9268448141137924,0.6666666666666666,0.0014629049111807733
3,0.9268448141147019,0.6668756530825496,0.0014629049111807733
3,0.9268448141142471,0.6666666666666666,0.0014629049111807733
3,0.9268448141144745,0.6668756530825496,0.0014629049111807733
3,0.9268448141143608,0.6668756530825496,0.0014629049111807733
3,0.926844814114304,0.6666666666666666,0.0014629049111807733
3,0.9268448141143324,0.6666666666666666,0.0014629049111807733
3,0.9268448141143466,0.6668756530825496,0.0014629049111807733
3,0.9268448141143395,0.6666666666666666,0.0014629049111807733
3,0.926844814114343,0.6666666666666666,0.0014629049111807733
3,0.9268448141143448,0.6666666666666666,0.0014629049111807733
