r_size,coeff,TMR,FMR
3,2.0,0.9995820271682341,0.903239289446186
3,1.0,0.9958202716823407,0.40668756530825495
3,0.5,0.780146290491118,0.006060606060606061
3,0.25,0.07272727272727272,0.0
3,0.375,0.3897596656217346,0.0
3,0.4375,0.6068965517241379,0.0010449320794148381
3,0.46875,0.7026123301985371,0.002716823406478579
3,0.453125,0.6566353187042843,0.0020898641588296763
3,0.4609375,0.6804597701149425,0.0025078369905956114
3,0.45703125,0.6689655172413793,0.0022988505747126436
3,0.455078125,0.6622779519331243,0.0020898641588296763
3,0.4560546875,0.664576802507837,0.0022988505747126436
3,0.45654296875,0.6672936259143156,0.0022988505747126436
3,0.456298828125,0.6656217345872518,0.0022988505747126436
3,0.4564208984375,0.6662486938349007,0.0022988505747126436
3,0.45648193359375,0.6666666666666666,0.0022988505747126436
3,0.75,0.9824451410658307,0.15005224660397073
3,0.625,0.9458725182863114,0.05141065830721003
3,0.5625,0.8915360501567398,0.022361546499477535
3,0.53125,0.8438871473354232,0.013166144200626959
3,0.515625,0.819644723092999,0.00961337513061651
3,0.5078125,0.7991640543364681,0.007732497387669801
3,0.51171875,0.8100313479623824,0.008986415882967606
3,0.509765625,0.8043887147335423,0.008359456635318705
3,0.5087890625,0.8010449320794149,0.007941483803552769
3,0.50830078125,0.8,0.007941483803552769
3,0.508544921875,0.8006269592476489,0.007941483803552769
3,0.5084228515625,0.800208986415883,0.007941483803552769
3,0.50836181640625,0.8,0.007941483803552769
3,0.546875,0.8689655172413793,0.016091954022988506
3,0.5390625,0.8557993730407524,0.014629049111807733
3,0.54296875,0.8622779519331244,0.015464994775339603
3,0.541015625,0.8595611285266458,0.0148380355276907
3,0.5400390625,0.8566353187042842,0.0148380355276907
3,0.54052734375,0.8574712643678161,0.0148380355276907
3,0.540283203125,0.8572622779519331,0.0148380355276907
3,0.5401611328125,0.8570532915360501,0.0148380355276907
3,0.54022216796875,0.8570532915360501,0.0148380355276907
4,2.0,1.0,0.9061128526645768
4,1.0,0.9967084639498432,0.4078369905956113
4,0.5,0.7841692789968652,0.007836990595611285
4,0.25,0.07742946708463949,0.0
4,0.375,0.40188087774294673,0.00015673981191222572
4,0.4375,0.6073667711598746,0.00109717868338558
4,0.46875,0.7084639498432602,0.003761755485893417
4,0.453125,0.659717868338558,0.0020376175548589342
4,0.4609375,0.6877742946708464,0.0028213166144200625
4,0.45703125,0.6721003134796238,0.0025078369905956114
4,0.455078125,0.6658307210031348,0.0023510971786833857
4,0.4560546875,0.6692789968652038,0.0023510971786833857
4,0.45556640625,0.6675548589341693,0.0023510971786833857
