r_size,coeff,TMR,FMR
3,2.0,1.0,0.9970741901776384
3,1.0,0.9995820271682341,0.8677115987460815
3,0.5,0.9937304075235109,0.30240334378265415
3,0.25,0.6238244514106583,0.002716823406478579
3,0.375,0.9719958202716823,0.08359456635318704
3,0.3125,0.9017763845350052,0.02612330198537095
3,0.28125,0.7914315569487983,0.008986415882967606
3,0.265625,0.7103448275862069,0.00522466039707419
3,0.2578125,0.6670846394984326,0.003970741901776384
3,0.25390625,0.6468129571577848,0.003552769070010449
3,0.255859375,0.6570532915360502,0.003970741901776384
3,0.2568359375,0.6620689655172414,0.003970741901776384
3,0.25732421875,0.664367816091954,0.003970741901776384
3,0.257568359375,0.6654127481713689,0.003970741901776384
3,0.2576904296875,0.6660397074190177,0.003970741901776384
3,0.25775146484375,0.6664576802507837,0.003970741901776384
3,0.296875,0.8537095088819227,0.013793103448275862
3,0.2890625,0.8284221525600836,0.010031347962382446
3,0.28515625,0.8117032392894462,0.00961337513061651
3,0.283203125,0.8027168234064785,0.00961337513061651
3,0.2822265625,0.7970741901776385,0.009195402298850575
3,0.28271484375,0.7991640543364681,0.009404388714733543
3,0.282958984375,0.8010449320794149,0.009404388714733543
3,0.2828369140625,0.8,0.009404388714733543
3,0.28289794921875,0.8006269592476489,0.009404388714733543
