r_size,coeff,TMR,FMR
3,1.0,0.7893416927899687,0.005015673981191223
3,0.5,0.055590386624869384,0.0
3,0.75,0.3318704284221526,0.0
3,0.875,0.5527690700104493,0.0004179728317659352
3,0.8125,0.4346917450365726,0.0
3,0.84375,0.4952978056426332,0.0
3,0.859375,0.5243469174503658,0.0002089864158829676
3,0.8515625,0.5103448275862069,0.0002089864158829676
3,0.84765625,0.5026123301985371,0.0002089864158829676
3,0.845703125,0.5005224660397074,0.0002089864158829676
3,0.8447265625,0.4975966562173459,0.0
3,0.84521484375,0.4986415882967607,0.0
3,0.845458984375,0.49926854754440964,0.0
3,0.8455810546875,0.5001044932079415,0.0
3,0.84552001953125,0.4998955067920585,0.0
3,0.845550537109375,0.4998955067920585,0.0
3,0.8455657958984375,0.4998955067920585,0.0
3,0.8455734252929688,0.4998955067920585,0.0
3,0.8455772399902344,0.4998955067920585,0.0
3,0.8455791473388672,0.5001044932079415,0.0
3,0.8455781936645508,0.5001044932079415,0.0
3,0.8455777168273926,0.4998955067920585,0.0
3,0.8455779552459717,0.4998955067920585,0.0
3,0.8455780744552612,0.5001044932079415,0.0
3,0.8455780148506165,0.4998955067920585,0.0
3,0.8455780446529388,0.5001044932079415,0.0
3,0.8455780297517776,0.4998955067920585,0.0
3,0.8455780372023582,0.4998955067920585,0.0
3,0.8455780409276485,0.4998955067920585,0.0
3,0.8455780427902937,0.4998955067920585,0.0
3,0.8455780437216163,0.4998955067920585,0.0
3,0.8455780441872776,0.4998955067920585,0.0
3,0.8455780444201082,0.4998955067920585,0.0
3,0.8455780445365235,0.4998955067920585,0.0
3,0.8455780445947312,0.4998955067920585,0.0
3,0.845578044623835,0.4998955067920585,0.0
3,0.8455780446383869,0.4998955067920585,0.0
3,0.8455780446456629,0.4998955067920585,0.0
3,0.8455780446493009,0.4998955067920585,0.0
3,0.8455780446511199,0.4998955067920585,0.0
3,0.8455780446520293,0.4998955067920585,0.0
3,0.8455780446524841,0.4998955067920585,0.0
3,0.8455780446527115,0.4998955067920585,0.0
3,0.8455780446528252,0.4998955067920585,0.0
3,0.845578044652882,0.4998955067920585,0.0
3,0.8455780446529104,0.4998955067920585,0.0
3,0.8455780446529246,0.4998955067920585,0.0
3,0.8455780446529317,0.4998955067920585,0.0
3,0.8455780446529353,0.4998955067920585,0.0
3,0.8455780446529371,0.4998955067920585,0.0
3,0.845578044652938,0.4998955067920585,0.0
3,0.8455780446529384,0.4998955067920585,0.0
3,0.8455780446529386,0.4998955067920585,0.0
3,0.8455780446529387,0.4998955067920585,0.0
3,1.0,0.7893416927899687,0.005015673981191223
3,0.5,0.055590386624869384,0.0
3,0.75,0.3318704284221526,0.0
3,0.875,0.5527690700104493,0.0004179728317659352
3,0.9375,0.6766980146290491,0.003343782654127482
3,0.90625,0.6140020898641588,0.0014629049111807733
3,0.921875,0.6474399164054336,0.0022988505747126436
3,0.9296875,0.664367816091954,0.002716823406478579
3,0.93359375,0.6693834900731452,0.0029258098223615466
3,0.931640625,0.6668756530825496,0.0029258098223615466
3,0.9306640625,0.6660397074190177,0.0029258098223615466
3,0.93115234375,0.6664576802507837,0.0029258098223615466
3,0.931396484375,0.6666666666666666,0.0029258098223615466
3,0.9315185546875,0.6668756530825496,0.0029258098223615466
3,0.93145751953125,0.6666666666666666,0.0029258098223615466
3,0.931488037109375,0.6666666666666666,0.0029258098223615466
3,0.9315032958984375,0.6666666666666666,0.0029258098223615466
3,0.9315109252929688,0.6668756530825496,0.0029258098223615466
3,0.9315071105957031,0.6668756530825496,0.0029258098223615466
3,0.9315052032470703,0.6666666666666666,0.0029258098223615466
3,0.9315061569213867,0.6666666666666666,0.0029258098223615466
3,0.9315066337585449,0.6666666666666666,0.0029258098223615466
