r_size,coeff,TMR,FMR
3,2.0,1.0,1.0
3,1.0,1.0,0.9950577952048361
3,0.5,0.9966098925785238,0.42543805906138954
3,0.25,0.614793938651309,0.004819670791978107
3,0.375,0.9668749744720827,0.1267818486296614
3,0.3125,0.8807335702324062,0.04452068782420455
3,0.28125,0.7789078135849364,0.018461789813339867
3,0.265625,0.7048972756606625,0.010088632928971122
3,0.2578125,0.6607850345137443,0.006984438181595392
3,0.26171875,0.683208757096761,0.008495690887554629
3,0.259765625,0.6717722501327452,0.007964710207082466
3,0.2587890625,0.6663807539925662,0.007433729526610301
3,0.25927734375,0.6689948127271985,0.007760486868439325
3,0.259033203125,0.6676469386921537,0.007678797532982069
3,0.2589111328125,0.6671159580116816,0.007637952865253441
3,0.25885009765625,0.6667075113343953,0.007597108197524813
3,0.296875,0.8350692317118,0.02961238410325532
3,0.2890625,0.8083568190172773,0.023934975288976024
3,0.28515625,0.7935302046317854,0.021035003880243434
3,0.287109375,0.8007597108197525,0.022219499244373647
3,0.2861328125,0.7977780500755627,0.021484295225258344
3,0.28662109375,0.7988808561042355,0.021851897234815995
3,0.286865234375,0.7997794387942654,0.022056120573459136
3,0.2869873046875,0.8002287301392803,0.022096965241187764
3,0.28692626953125,0.8000653514683658,0.022056120573459136
3,0.3046875,0.8592084303394192,0.03708695829759425
3,0.30078125,0.8478536127108606,0.03369685087611812
3,0.302734375,0.8538169341992403,0.03524894824980599
3,0.3037109375,0.8563901482661439,0.036270064943021686
3,0.30419921875,0.8578197116366458,0.036596822284850714
3,0.303955078125,0.8571253522852592,0.0364334436139362
3,0.3040771484375,0.857574643630274,0.036555977617122086
3,0.30401611328125,0.8573704202916309,0.03647428828166483
4,2.0,1.0,1.0
4,1.0,0.999968608739327,0.9949460070316424
4,0.5,0.9960760924158715,0.41587142139628325
4,0.25,0.6127887995981919,0.0037669512807634357
4,0.375,0.9652812656956303,0.12374434957307885
4,0.3125,0.8789866901054746,0.04181315921647413
4,0.28125,0.7750502260170768,0.01691988950276243
4,0.265625,0.7016260673028629,0.00847564038171773
4,0.2578125,0.6599698643897539,0.005650426921145153
4,0.26171875,0.6814414866901055,0.00709442491210447
4,0.259765625,0.6713335007533903,0.006246860873932697
4,0.2587890625,0.6655261175288799,0.005932948267202411
4,0.25927734375,0.6681315921647414,0.006089904570567554
4,0.259033203125,0.666687594173782,0.006027122049221497
4,0.2589111328125,0.6662481165243597,0.005995730788548468
4,0.25897216796875,0.6664992466097438,0.006027122049221497
4,0.296875,0.8346622300351582,0.027812656956303364
