coeff,TMR,FMR
0.5240180790424347,0.009991235758106924,0.0
0.5573750436306,0.020011685655857436,0.0
0.5813908874988556,0.029988314344142564,0.0
0.599448174238205,0.04000876424189308,0.0
0.6142434179782867,0.05,0.0
0.6268704831600189,0.060005842827928715,0.0
0.6380051076412201,0.07001168565585744,0.0
0.6482715308666229,0.08000292141396435,0.0
0.6577586829662323,0.09000876424189308,0.0
0.6663090884685516,0.10001460706982179,0.0
0.6746334135532379,0.10999123575810692,0.0
0.6820829212665558,0.11999707858603564,0.0
0.6894340217113495,0.13000292141396436,0.0
0.6965736448764801,0.13999415717207128,0.0
0.7032470405101776,0.15001460706982178,0.0
0.7093733847141266,0.15999123575810692,4.3821209465381244e-05
0.7155636250972748,0.17001168565585745,7.303534910896874e-05
0.7212671935558319,0.18000292141396435,0.00010224948875255624
0.7268117964267731,0.18999415717207127,0.00010224948875255624
0.732181042432785,0.2000146070698218,0.00010224948875255624
0.7376333773136139,0.20999123575810694,0.00010224948875255624
0.7428525388240814,0.22001168565585744,0.00010224948875255624
0.7479531466960907,0.23000292141396436,0.00010224948875255624
0.7532204687595367,0.2399941571720713,0.00010224948875255624
0.7584491074085236,0.25,0.00010224948875255624
0.7637958824634552,0.2599912357581069,0.00010224948875255624
0.7687996923923492,0.26999707858603567,0.00013146362839614373
0.7740830481052399,0.27998831434414256,0.00014607069821793748
0.7788669764995575,0.2900087642418931,0.00014607069821793748
0.7835685908794403,0.3000146070698218,0.00014607069821793748
0.7878744304180145,0.3100058428279287,0.00017528483786152498
0.7923713624477386,0.3200116856558574,0.00018989190768331873
0.7967330515384674,0.32998831434414255,0.00023371311714869998
0.8012093007564545,0.3400087642418931,0.00023371311714869998
0.8057617843151093,0.3500146070698218,0.00024832018697049373
0.8105483949184418,0.3600058428279287,0.00024832018697049373
0.8150297701358795,0.36999707858603564,0.00033596260590125623
0.8194503486156464,0.38000292141396436,0.00036517674554484373
0.8239080011844635,0.3899941571720713,0.00036517674554484373
0.8283471167087555,0.4,0.00036517674554484373
0.8325184881687164,0.4099912357581069,0.00037978381536663745
0.8367292582988739,0.42001168565585745,0.00037978381536663745
0.8412559926509857,0.43000292141396435,0.0004236050248320187
0.8457398116588593,0.44000876424189306,0.0005550686532281625
0.8499119579792023,0.45,0.0005842827928717499
0.8542843163013458,0.4599912357581069,0.0006281040023371311
0.8585821092128754,0.47001168565585744,0.0006427110721589249
0.8630869090557098,0.48000292141396433,0.0007449605609114811
0.8677131235599518,0.4899941571720713,0.0008472100496640374
0.8724412024021149,0.5,0.0009494595384165936
0.8768533766269684,0.5099912357581069,0.0010078878177037687
0.8814106285572052,0.5199970785860356,0.0010078878177037687
0.8856510818004608,0.5300029214139643,0.0010955302366345311
0.8901068270206451,0.5399941571720713,0.0011247443762781187
0.8946485817432404,0.55,0.0011977797253870874
0.8994780480861664,0.5600058428279288,0.001343850423605025
0.9043028652667999,0.5699970785860357,0.0014314928425357874
0.9093022644519806,0.5799883143441426,0.001621384750219106
0.9142538607120514,0.5899941571720713,0.0017674554484370436
0.9192062318325043,0.6000146070698218,0.0019281332164767747
0.9240634143352509,0.6100058428279287,0.002044989775051125
0.9290224015712738,0.6200116856558574,0.002132632193981887
0.9341008365154266,0.6300029214139644,0.002366345311130587
0.9391836822032928,0.6400087642418931,0.00268770084721005
0.9445809423923492,0.65,0.0028921998247151623
0.9493547976016998,0.6599912357581069,0.0032719836400817996
0.9547743499279022,0.6700116856558574,0.003666374525270231
0.9603118598461151,0.6800029214139643,0.004002337131171487
0.9654919803142548,0.6900087642418931,0.004469763365468887
0.9709032475948334,0.7000146070698218,0.004995617879053462
0.9767402708530426,0.709991235758107,0.005594507741747005
0.9826566278934479,0.7199970785860357,0.006266432953549518
0.989057332277298,0.7299883143441426,0.006850715746421268
0.9951595366001129,0.7399941571720713,0.007639497516798131
1.0016663670539856,0.75,0.008472100496640374
1.0080811381340027,0.7600058428279287,0.009260882267017236
1.0147481560707092,0.7699970785860356,0.010356412503651767
1.0216956734657288,0.7799883143441426,0.011247443762781187
1.0286701321601868,0.7899941571720713,0.012635115395851592
1.0364852547645569,0.8,0.013978965819456617
1.0445511937141418,0.8099912357581069,0.015571136430032136
1.0528364777565002,0.8199970785860357,0.017294770669003798
1.0611650347709656,0.8300029214139644,0.019252118025124162
1.0698115229606628,0.8400087642418931,0.021370143149284253
1.0803250670433044,0.8500146070698218,0.02404323692667251
1.0909516215324402,0.8600058428279287,0.026877008472100495
1.1019076704978943,0.8700116856558574,0.030324276950043822
1.114126741886139,0.8799883143441426,0.033844580777096116
1.1273272633552551,0.8899941571720713,0.03841659363131756
1.1422200798988342,0.9,0.04354367513876716
1.1589191555976868,0.9099912357581069,0.05068653228162431
1.1775712370872498,0.9200116856558574,0.05853052877592755
1.1982197165489197,0.9300029214139643,0.0689161554192229
1.2198943495750427,0.9400087642418931,0.0801343850423605
1.2480050921440125,0.9500146070698218,0.09607069821793748
1.2828379273414612,0.959991235758107,0.11863862109260882
1.3249241709709167,0.9700116856558574,0.1499853929301782
1.385599434375763,0.9799883143441426,0.1966988022202746
1.4976951479911804,0.9900087642418931,0.29846625766871165
2.0,0.9993718959976629,0.7982909728308502
2.0,0.9993718959976629,0.7982909728308502
